,accuracy,precision,recall,f1,auc,block_rate,fraud_rate,conversion_rate,average_precision
RandomForest,0.949618058535748,0.6496350364963503,0.892678034102307,0.7520067596113224,0.9238122665349153,0.1175864732640975,0.010407547903900399,0.8824135267359025,0.6382722789106334
LightGBM,0.9482447858552914,0.6481203007518797,0.8645937813440321,0.740868070477009,0.910333308918684,0.11415329156295596,0.013080127894583859,0.885846708437044,0.6763162214032528
XGBoost,0.9448116041541499,0.6213991769547325,0.9087261785356068,0.7380855397148675,0.9284573261741297,0.12513947300660888,0.008927695477288335,0.8748605269933911,0.6578987968897956
XGBoostRF,0.9470431722598919,0.6376811594202898,0.8826479438314945,0.7404291123264619,0.9178586067946659,0.11844476868938289,0.011391295881608412,0.8815552313106171,0.6645727420714872
VotingClassifier,0.9495322289932194,0.6489439184268027,0.8936810431293881,0.7518987341772153,0.9242199095879716,0.11784396189168311,0.010313290523448142,0.8821560381083169,0.6518309193780155
