,accuracy,precision,recall,f1,auc,block_rate,fraud_rate,conversion_rate,average_precision
RandomForest,0.9489804624178825,0.6104319478402608,0.8619102416570771,0.7146946564885496,0.9089315307069019,0.10468390069106731,0.011435105774728416,0.8953160993089326,0.5743078204506455
LightGBM,0.9480419759406195,0.6041666666666666,0.8676639815880323,0.7123287671232876,0.911071209371237,0.10647555669311493,0.010980616824214647,0.8935244433068851,0.5937672775293403
XGBoost,0.9430935926968689,0.5743740795287187,0.8975834292289988,0.7004939380332285,0.9221606788607213,0.11586042146574524,0.008588246646723922,0.8841395785342547,0.6067896998654277
XGBoostRF,0.9474447572732702,0.6020984665052461,0.8584579976985041,0.7077798861480076,0.9065142918827943,0.10570770412080881,0.011734401831711505,0.8942922958791912,0.5983220412140013
VotingClassifier,0.9490657793703609,0.6096774193548387,0.8699654775604143,0.7169274537695591,0.9126827019206422,0.10579302107328727,0.010781413987214961,0.8942069789267127,0.5762058262735275
