,accuracy,precision,recall,f1,auc,block_rate,fraud_rate,conversion_rate,average_precision
RandomForest,0.9507264134430247,0.6396103896103896,0.8687982359426681,0.7367928938756428,0.9132944502272519,0.10782426045860319,0.011673533451049637,0.8921757395413968,0.6287478645354896
LightGBM,0.9494136180640644,0.6392887383573242,0.8324145534729879,0.7231800766283525,0.8959582036306853,0.10336075617013828,0.0148365056124939,0.8966392438298617,0.626052757500545
XGBoost,0.945387712235253,0.6050482553823311,0.898566703417861,0.7231588287488908,0.9239957768443996,0.1178890250306319,0.009127889671594403,0.8821109749693681,0.6344359635560954
XGBoostRF,0.9500262559075792,0.6370309951060359,0.8610804851157663,0.73230192217534,0.9093880417783413,0.10729914230701908,0.012352941176470587,0.8927008576929809,0.6324370924208428
VotingClassifier,0.9510764922107474,0.6403225806451613,0.8754134509371555,0.7396367023754077,0.9165069916535764,0.10852441799404866,0.011093657961908502,0.8914755820059513,0.6327008505550481
