,accuracy,precision,recall,f1,auc,block_rate,fraud_rate,conversion_rate,average_precision
RandomForest,0.9498712446351931,0.6463595839524517,0.8895705521472392,0.748709122203098,0.9224839267482823,0.11553648068669528,0.01048136645962733,0.8844635193133047,0.6472634349714457
LightGBM,0.9485836909871245,0.6421605401350338,0.8752556237218814,0.7408048463868456,0.9152796109613904,0.1144206008583691,0.01182514296791703,0.8855793991416309,0.6554054116482974
XGBoost,0.9375965665236051,0.5825115055884287,0.9059304703476483,0.7090836334533814,0.9232144855486367,0.1305579399141631,0.009082831473985586,0.8694420600858369,0.6581896285954566
XGBoostRF,0.9494420600858369,0.6461307287753568,0.8793456032719836,0.7449112169770463,0.917605710181719,0.11424892703862662,0.011435216590754919,0.8857510729613733,0.6494582257831658
VotingClassifier,0.9496995708154506,0.6443298969072165,0.8946830265848671,0.7491438356164384,0.9247122029476059,0.11656652360515021,0.010007773027594247,0.8834334763948498,0.655960046003543
