,accuracy,precision,recall,f1,auc,block_rate,fraud_rate,conversion_rate,average_precision
RandomForest,0.9458115624473284,0.6106382978723405,0.9015706806282723,0.7281183932346723,0.9256272429811694,0.11882690038766223,0.008990053557765876,0.8811730996123378,0.6365792009649611
LightGBM,0.9474127759986516,0.624717407686511,0.8680628272251308,0.726555652936021,0.911210407288672,0.11183212540030339,0.011955593509820665,0.8881678745996966,0.6250697078082936
XGBoost,0.9384796898702175,0.5744540039708802,0.9089005235602095,0.7039740470397404,0.9249845849402183,0.12733861452890613,0.00840173829068083,0.8726613854710938,0.627355773122945
XGBoostRF,0.9471599528063375,0.6214814814814815,0.8785340314136125,0.7279826464208243,0.9158502803021688,0.11377043654137874,0.01103081019399011,0.8862295634586213,0.629678098891258
VotingClassifier,0.9469071296140232,0.6161543959971408,0.9026178010471204,0.7323704333050128,0.9267007069574343,0.11789988201584359,0.008885067354542848,0.8821001179841564,0.6397926695193412
