,accuracy,precision,recall,f1,auc,block_rate,fraud_rate,conversion_rate,average_precision
RandomForest,0.9541762316793219,0.6358183376178235,0.8875598086124402,0.7408886669995007,0.9235225163176595,0.1030372594031432,0.009252879220395709,0.8969627405968568,0.6671432889007406
LightGBM,0.9525869680381424,0.6281062553556127,0.8767942583732058,0.7319021467798302,0.9177107612171082,0.1030372594031432,0.010138793188305935,0.8969627405968568,0.6453618730573721
XGBoost,0.950026487727353,0.6085209003215434,0.9055023923444976,0.7278846153846152,0.9295386127594748,0.10983577609041144,0.007835746875619916,0.8901642239095886,0.6486414959504253
XGBoostRF,0.9522337983401025,0.6270456503014643,0.8708133971291866,0.729093640460691,0.9147679950374245,0.10250750485608334,0.010624692572552878,0.8974924951439167,0.6435598516266106
VotingClassifier,0.9545294013773619,0.6365957446808511,0.8947368421052632,0.7439085032322228,0.927015704179419,0.10374359879922303,0.008669096640725052,0.896256401200777,0.6752963543302595
