,accuracy,precision,recall,f1,auc,block_rate,fraud_rate,conversion_rate,average_precision
RandomForest,0.947549513259483,0.6351254480286739,0.8842315369261478,0.7392574050896955,0.9187970951993759,0.11706948640483383,0.011025567911795457,0.8829305135951662,0.631176267961803
LightGBM,0.94662638469285,0.6326086956521739,0.8712574850299402,0.7329974811083124,0.9124016946864929,0.11581067472306143,0.01224373576309795,0.8841893252769386,0.6379650893033689
XGBoost,0.9425981873111783,0.6062834224598931,0.9051896207584831,0.7261809447558047,0.9256111197067108,0.12554548506210136,0.009117082533589251,0.8744545149378986,0.6482658371883052
XGBoostRF,0.9451158106747231,0.6241084165477889,0.873253493013972,0.7279534109816973,0.9124834443263007,0.11765693185632763,0.012079132585124596,0.8823430681436724,0.635358215236454
VotingClassifier,0.9472138301443438,0.6331192005710207,0.8852295409181636,0.7382438618393674,0.9190670336073318,0.1175730110775428,0.010936757013789824,0.8824269889224572,0.6375118968199549
