,accuracy,precision,recall,f1,auc,block_rate,fraud_rate,conversion_rate,average_precision
RandomForest,0.9536652835408023,0.6264367816091954,0.9040284360189573,0.7400581959262851,0.9308001187927684,0.10529045643153527,0.00782608695652174,0.8947095435684648,0.6460242872408988
LightGBM,0.9547890733056709,0.6382428940568475,0.8779620853080569,0.7391521197007481,0.919398797223219,0.10036307053941909,0.009897184587297011,0.8996369294605809,0.6260127213964707
XGBoost,0.9484785615491009,0.5967238689547582,0.9063981042654028,0.7196613358419566,0.9290942404952527,0.11082295988934993,0.007680342212716313,0.88917704011065,0.6261104347327778
XGBoostRF,0.9495159059474412,0.6033386327503975,0.8992890995260664,0.7221693625118935,0.9263789772154764,0.10874827109266944,0.008244422890397672,0.8912517289073305,0.6269067160443444
VotingClassifier,0.9535788381742739,0.6255110384300899,0.9063981042654028,0.7402031930333817,0.9318450797343425,0.10572268326417704,0.00763653939101015,0.894277316735823,0.647422658662145
