psp_reference,outlier_score
70119249768,0.020247104
28072336569,0.0012014237
39014155829,0.0038813674
88323560627,0.028374523
58489922712,0.006181513
39561700114,0.016725095
60580659035,0.035655946
28249537746,0.012408873
78336638547,0.009361283
88871741758,0.006805345
29816472228,0.001290475
64951200593,0.0053100917
14642740750,0.0063845576
19537545652,0.19551043
12288127088,0.007439531
63604224259,0.011287965
77323920975,0.013806719
17217807239,0.06492818
43634966193,0.011872214
13855196047,0.0020967857
17036042983,0.01599153
66171516236,0.001191004
79050425669,0.015995678
27808919567,0.03258685
31552251386,0.0151628805
36351622287,0.029799642
75132769559,0.007863204
39099652372,0.0022704285
64170164565,0.03664047
30384535924,0.0051350542
64836760886,0.009572147
49670298734,0.0117871035
43012265226,0.003399679
47458313607,0.022710485
12304505582,0.14094786
84423232615,0.03452917
58989445408,0.010790806
32423193963,0.042292383
68706969709,0.042050812
32302074299,0.0047354354
41590942485,0.019098777
81138161056,0.013787441
60010598371,0.0023427124
28682335796,0.046534304
33478760265,0.04491719
35425642625,0.25567997
53667136995,0.030203255
69278934942,0.035648774
74602017527,0.2304639
49871589528,0.016085884
51133210064,0.010237888
81098242739,0.002420786
32137135040,0.005985758
51190542765,0.046154134
31710514643,0.008259781
81288501417,0.03904204
58922073569,0.018097034
69365818590,0.10763096
13068382199,0.005321902
78317889591,0.0144733405
71074694435,0.0029446245
45576092569,0.042570475
37252749815,0.0015953267
12104189011,0.29913884
58760341411,0.0049340427
10225747569,0.0013663596
14548846005,0.0010328324
13830239453,0.0010329622
87482221938,0.011509175
46800928450,0.0009398578
33255636381,0.0024958707
69214418936,0.07148029
65134834505,0.02547968
57647452590,0.3117939
16617725975,0.04064648
84926291713,0.23471102
69707417472,0.050973084
13029647137,0.007042118
30433328857,0.0014409496
45736384977,0.025036449
67493122074,0.01558217
27039093158,0.42916998
61976691800,0.0009769795
50445640729,0.007196636
58423278848,0.0015407385
75698442129,0.0057332017
60822017543,0.001210198
53077454935,0.0059720576
34887004525,0.0033357334
86381416914,0.0075989757
40293916124,0.000980145
64116388742,0.002122884
34783777150,0.1569963
66834051200,0.001169204
22184356915,0.021341925
11566424173,0.028088173
45510956813,0.0011581896
72939491218,0.002830042
22097767563,0.04225285
78981894442,0.002543547
80939806609,0.015326769
67565281235,0.0379593
75769925853,0.002396354
82767172607,0.011892792
36084045071,0.05203124
63424817611,0.0007943598
32394776906,0.014732384
52916828306,0.36854193
40127863991,0.03460411
74494987283,0.0433323
78973803459,0.027791608
66692802254,0.024541607
10775116778,0.0120689375
87618382017,0.0016818788
74561410410,0.05948618
82834003070,0.1391898
53622133404,0.033089086
30862882678,0.063684694
69788030174,0.041712523
39321262101,0.0026297367
84868390361,0.0012965436
12034521705,0.016373895
37917342831,0.035681885
74039561280,0.0015205296
46491338593,0.0027623079
34931088007,0.042318154
80592690486,0.08586749
81168796368,0.0026575867
20818657644,0.02295098
52717597602,0.0029939136
64888626139,0.15445949
81414244140,0.004680845
18296207907,0.017925108
88432749591,0.0092275785
57908700589,0.0015111378
53213681201,0.021023212
29158453835,0.0033911238
11530370383,0.0012856731
63980696634,0.0030205452
14575944467,0.062024288
15301201178,0.043009736
54460594082,0.17926048
15474068128,0.085137695
87430069798,0.007278658
86077774492,0.034245063
51957638361,0.041732483
69694057252,0.14578193
47547444290,0.03354529
89517019810,0.00682805
46088980944,0.05855791
89698098952,0.08383119
82647263513,0.05175329
25068232684,0.017445821
66239618790,0.044887286
20872380577,0.030540852
14311939548,0.0017472111
22412830359,0.01826011
49325992112,0.0018627254
45082745038,0.945684
63987592727,0.0017839764
70187962522,0.0010716891
79234137176,0.0009943255
44521026335,0.01485712
89374797398,0.0015789756
61066147561,0.001169634
34107389487,0.003907475
67962211624,0.005557719
60779050406,0.033784047
16768961455,0.032183137
50303930275,0.04848025
30185582024,0.001570706
40906139195,0.19750312
28338530668,0.0010914623
69806604927,0.0778568
38588316642,0.0059722266
76487740599,0.0037794919
55893730308,0.04368346
43796172720,0.0044251266
38901124721,0.4475023
29554133156,0.009027931
88637650202,0.032977372
58787958643,0.0010370648
79402211486,0.0012475986
37330380037,0.00469659
54768205947,0.0029052747
24487367593,0.0015337348
74123401746,0.13421349
37454460446,0.0064853407
88833102766,0.024351971
70461138537,0.012893042
72165428553,0.029697621
87343207614,0.05010468
32680172397,0.090936095
70523584005,0.024226217
60236927556,0.034259405
62682395580,0.047593232
64709389137,0.00089379516
69674478409,0.046172164
84676664456,0.03750708
29123360097,0.001681134
39207431027,0.059722412
23472749609,0.0118204765
31128971322,0.016293148
58608110540,0.002163552
14669803244,0.13026978
37146220205,0.0017070287
61585764728,0.0018439706
13722683289,0.0021328519
33437818456,0.009363673
43084845737,0.82618785
45527379419,0.17581575
49222791579,0.013368813
70186895435,0.019803094
28040055375,0.05424463
21854910829,0.019405518
54443253495,0.010821574
45290084537,0.0008468306
39003052075,0.0032339627
49358112384,0.0211347
73999822469,0.016106028
31986294155,0.044107344
69000809711,0.010504257
21701167685,0.04900125
45168074160,0.0010914635
13834918715,0.00294218
55279606038,0.034134705
81127353561,0.0015112552
88276482745,0.015652254
75432587495,0.026319284
84947720350,0.0012749373
41750244335,0.008490826
37529493964,0.002470433
45360630114,0.028175429
11807869437,0.0012206134
83392874082,0.009582155
75922830894,0.001003341
55634615513,0.35297745
60250899390,0.052347537
26862210672,0.0008655158
27559697208,0.052155074
44827993018,0.033376005
48003191767,0.09000143
73014097062,0.009741806
38894904227,0.0010768285
89916630019,0.012479617
51581422334,0.02787311
77494466536,0.028672555
51842827215,0.034832098
36417830170,0.0025483507
88837440503,0.055944663
85041421694,0.0016027376
70186693881,0.051141348
11318525455,0.20506161
71505449046,0.019207802
29413835986,0.010821004
35379144764,0.03200339
74323000705,0.0045084306
70918814793,0.048579875
28974096276,0.03302647
16568021482,0.0010567749
81870294330,0.014261362
36720589282,0.021171445
51694943734,0.001919189
43003792789,0.0046411357
20353028606,0.12346983
30540060114,0.010245796
23097157691,0.09440592
10778837572,0.0011623868
55155984063,0.0019717335
68894689276,0.001933932
31592965299,0.001758323
80697000255,0.0018247934
36472176363,0.022784691
59817616601,0.008356493
10619457569,0.03117197
12301456881,0.006962341
72438225997,0.015754398
57560128288,0.01867489
58324666152,0.046655465
25178660485,0.013359308
69675268331,0.005492157
17810206440,0.054641552
36391228879,0.0021281403
82281158189,0.02865814
36223551387,0.05107814
81405802003,0.0023879535
58859579537,0.0012133163
52662343329,0.019997653
40269711839,0.109589465
57833867787,0.0015030655
86346466371,0.016530182
44866211075,0.016017357
75121021869,0.02007164
37328120593,0.0091824485
89937296470,0.001227429
85766725597,0.002728302
68214760093,0.097750686
60245062431,0.0037636268
85214217521,0.009699194
58745921076,0.04510868
63616872619,0.014186893
30378889753,0.001335217
19553034468,0.20284584
72384201170,0.020927045
53581739348,0.013514521
65461646710,0.04367851
40005796219,0.0020937128
78608056167,0.0018824228
38358949093,0.023079043
24217574116,0.06787018
89928357356,0.004776322
20512922299,0.0021456254
50467967707,0.042716634
51045985377,0.033990014
30559120708,0.10563865
17900222294,0.024606418
35135309878,0.0149750495
67903192311,0.0026350564
21214891860,0.0037972594
21227400765,0.028805746
77099785932,0.0011096627
48259671425,0.032789603
74253111510,0.0060720346
84577808605,0.09865982
39488451187,0.015456188
87084910345,0.03476998
53541929491,0.010106576
44565646506,0.033643994
89378614722,0.0016830855
20921286235,0.007806338
37274982689,0.034852378
14055325470,0.020592475
42557240402,0.012215523
82713054100,0.0010991023
47817155013,0.036350276
79035949572,0.07029505
33577622641,0.10955595
55040261504,0.0354378
80412971440,0.0015724695
65090903791,0.0038501834
72218235852,0.0066964445
85629165350,0.007284283
86463433835,0.034812924
64066182015,0.0022650356
17278158173,0.052408617
55563455458,0.007624067
84114652060,0.05420328
41344566775,0.070971936
56122516881,0.006628314
49413828189,0.07629536
24922622174,0.0024412835
33247197826,0.049303874
87899251580,0.101242244
36296565180,0.022276705
26543579655,0.0136948945
52598304710,0.0015747723
49289912615,0.001758804
65333588200,0.002488923
38386485151,0.031885978
80700828097,0.014080822
39194723951,0.013483922
30600254716,0.09103554
46805544193,0.034058932
10143672940,0.09693031
17074127695,0.076352805
21032695425,0.015594613
62972316865,0.1909161
74509650632,0.017383108
13226459845,0.02466153
86785230563,0.045045964
73511961322,0.03255016
35749441342,0.01486181
39409606491,0.040731687
84844685987,0.001639319
47802022406,0.0069450173
10004345018,0.0027397228
53973861858,0.032607518
44585501237,0.1346968
81855814426,0.00068829145
20475876107,0.28412637
31359759460,0.0045531862
86087568819,0.084019445
85512227069,0.31521615
40125046209,0.0010031931
12043023929,0.014442224
51876109994,0.0028327573
53190826101,0.007652292
38240702301,0.004157819
63166361078,0.012002633
79000102185,0.033385977
87056179253,0.2394686
43632547521,0.01190094
61252025971,0.017967148
